addr,lat,lng,addr_norm,bank_code,bank_name,branch_code,branch_name,tel_no,manager,establish_date,extended_open_time,url
高雄市左營區博愛二路578號,22.667863,120.303637,高雄市左營區新下里博愛二路578號,808,玉山商業銀行,8080635,玉山商業銀行左營分行,07-5591313,呂瓊茹,2004-09-06,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080635"
高雄市楠梓區軍校路980號,22.713759,120.290135,高雄市楠梓區建昌里軍校路980號,808,玉山商業銀行,8080646,玉山商業銀行楠梓分行,07-3641313,鄭富仁,2004-09-06,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080646"
臺北市士林區福佳里中正路266號,25.095179,121.524047,台北市士林區福佳里中正路266號,808,玉山商業銀行,8080657,玉山商業銀行士林分行,02-28341313,周明仁,2005-06-29,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080657"
高雄市苓雅區林華里和平二路305號,22.615864,120.322416,高雄市苓雅區林華里和平二路305號,808,玉山商業銀行,8080668,玉山商業銀行苓雅分行,07-7161313,顏肇廷,2004-09-06,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080668"
台北市大安區仁愛路四段376號,25.037378,121.555759,台北市大安區光信里仁愛路四段376號,808,玉山商業銀行,8080679,玉山商業銀行仁愛分行,02-2708-1313,彭俊宏,2004-09-06,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080679"
台中市南屯區五權西路二段667號,24.141513,120.638968,台中市南屯區南屯里五權西路二段667號,808,玉山商業銀行,8080680,玉山商業銀行南屯分行,04-23801313,黃義宗,1998-06-08,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080680"
臺北市文山區木柵里木柵路三段127、129號,,,,808,玉山商業銀行,8080691,玉山商業銀行木柵分行,02-29361313,凃玟全,2005-09-26,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080691"
高雄市三民區鼎中路343號,22.666097,120.319096,高雄市三民區鼎泰里鼎中路343號,808,玉山商業銀行,8080705,玉山商業銀行大昌分行,07-3411313,高易新,2004-09-06,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080705"
台東縣台東市中正里中正路239號,22.7554467,121.1536332,台東縣台東市中正里中正路239號,808,玉山商業銀行,8080716,玉山商業銀行台東簡易型分行,089-361313,蕭坤宗,2008-12-23,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080716"
高雄市三民區陽明路457號,22.646354,120.342598,高雄市三民區本上里陽明路457號,808,玉山商業銀行,8080727,玉山商業銀行澄清分行,07-3861313,林忠男,2004-09-06,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080727"
高雄市小港區康莊路47號,22.568527,120.356771,高雄市小港區順苓里康莊路47號,808,玉山商業銀行,8080738,玉山商業銀行小港分行,07-8071313,李明庭,2004-09-06,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080738"
新北市新莊區思源路336號,25.05109199,121.46027072,新北市新莊區頭前里思源路336號,808,玉山商業銀行,8080749,玉山商業銀行北新莊分行,02-29971313,白宗民,2005-04-18,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080749"
