county	county_id	town	town_id	village	village_id	villcode	code2	code1	codebase
臺北市	63000	大安區	63000030	建倫里	50	A6303-050-00	A6303-18	A6303-18-001	A6303-0144-00
臺北市	63000	南港區	63000090	成福里	11	A6309-011-00	A6309-29	A6309-29-008	A6309-0383-00
臺北市	63000	大安區	63000030	建倫里	50	A6303-050-00	A6303-18	A6303-18-001	A6303-0145-00
臺北市	63000	中正區	63000050	文北里	29	A6305-029-00	A6305-08	A6305-08-001	A6305-0131-00
臺北市	63000	南港區	63000090	仁福里	19	A6309-019-00	A6309-31	A6309-31-001	A6309-0381-00
臺北市	63000	南港區	63000090	仁福里	19	A6309-019-00	A6309-31	A6309-31-002	A6309-0382-00
臺北市	63000	信義區	63000020	松光里	23	A6302-023-00	A6302-18	A6302-18-007	A6302-0279-00
臺北市	63000	信義區	63000020	大道里	26	A6302-026-00	A6302-18	A6302-18-008	A6302-0281-00
臺北市	63000	萬華區	63000070	青山里	6	A6307-006-00	A6307-07	A6307-07-007	A6307-0146-00
臺北市	63000	信義區	63000020	大仁里	27	A6302-027-00	A6302-32	A6302-32-006	A6302-0358-00
臺北市	63000	萬華區	63000070	福音里	8	A6307-008-00	A6307-08	A6307-08-008	A6307-0143-00
臺北市	63000	萬華區	63000070	青山里	6	A6307-006-00	A6307-11	A6307-11-003	A6307-0140-00
臺北市	63000	大安區	63000030	建倫里	50	A6303-050-00	A6303-18	A6303-18-008	A6303-0219-00
臺北市	63000	南港區	63000090	百福里	14	A6309-014-00	A6309-34	A6309-34-003	A6309-0410-00
臺北市	63000	南港區	63000090	仁福里	19	A6309-019-00	A6309-31	A6309-31-007	A6309-0406-00
臺北市	63000	萬華區	63000070	青山里	6	A6307-006-00	A6307-07	A6307-07-007	A6307-0147-00
臺北市	63000	信義區	63000020	興隆里	3	A6302-003-00	A6302-30	A6302-30-009	A6302-0352-00
臺北市	63000	大安區	63000030	建倫里	50	A6303-050-00	A6303-18	A6303-18-007	A6303-0204-00
臺北市	63000	中正區	63000050	幸市里	27	A6305-027-00	A6305-10	A6305-10-002	A6305-0166-00
臺北市	63000	中正區	63000050	文北里	29	A6305-029-00	A6305-08	A6305-08-005	A6305-0163-00
臺北市	63000	大安區	63000030	建倫里	50	A6303-050-00	A6303-21	A6303-21-001	A6303-0205-00
臺北市	63000	南港區	63000090	仁福里	19	A6309-019-00	A6309-33	A6309-33-003	A6309-0407-00
臺北市	63000	信義區	63000020	中行里	25	A6302-025-00	A6302-31	A6302-31-003	A6302-0356-00
臺北市	63000	大安區	63000030	建倫里	50	A6303-050-00	A6303-21	A6303-21-001	A6303-0206-00
臺北市	63000	南港區	63000090	仁福里	19	A6309-019-00	A6309-33	A6309-33-004	A6309-0409-00
臺北市	63000	萬華區	63000070	青山里	6	A6307-006-00	A6307-16	A6307-16-001	A6307-0188-00
臺北市	63000	萬華區	63000070	青山里	6	A6307-006-00	A6307-11	A6307-11-004	A6307-0182-00
臺北市	63000	萬華區	63000070	青山里	6	A6307-006-00	A6307-11	A6307-11-006	A6307-0189-00
臺北市	63000	萬華區	63000070	青山里	6	A6307-006-00	A6307-11	A6307-11-005	A6307-0183-00
臺北市	63000	萬華區	63000070	富民里	7	A6307-007-00	A6307-13	A6307-13-005	A6307-0187-00
臺北市	63000	萬華區	63000070	仁德里	9	A6307-009-00	A6307-14	A6307-14-001	A6307-0181-00
臺北市	63000	萬華區	63000070	富民里	7	A6307-007-00	A6307-12	A6307-12-005	A6307-0180-00
臺北市	63000	信義區	63000020	中坡里	24	A6302-024-00	A6302-38	A6302-38-002	A6302-0418-00
臺北市	63000	南港區	63000090	舊莊里	16	A6309-016-00	A6309-39	A6309-39-006	A6309-0463-00
臺北市	63000	中正區	63000050	文北里	29	A6305-029-00	A6305-11	A6305-11-001	A6305-0199-00
臺北市	63000	南港區	63000090	舊莊里	16	A6309-016-00	A6309-35	A6309-35-007	A6309-0444-00
臺北市	63000	南港區	63000090	舊莊里	16	A6309-016-00	A6309-35	A6309-35-006	A6309-0438-00
臺北市	63000	萬華區	63000070	福音里	8	A6307-008-00	A6307-18	A6307-18-001	A6307-0230-00
臺北市	63000	大安區	63000030	光信里	56	A6303-056-00	A6303-28	A6303-28-006	A6303-0319-00
臺北市	63000	大安區	63000030	仁慈里	2	A6303-002-00	A6303-24	A6303-24-004	A6303-0315-00
臺北市	63000	信義區	63000020	安康里	9	A6302-009-00	A6302-45	A6302-45-002	A6302-0483-00
臺北市	63000	萬華區	63000070	福音里	8	A6307-008-00	A6307-18	A6307-18-002	A6307-0232-00
臺北市	63000	大安區	63000030	敦煌里	53	A6303-053-00	A6303-34	A6303-34-001	A6303-0328-00
臺北市	63000	大安區	63000030	仁慈里	2	A6303-002-00	A6303-24	A6303-24-004	A6303-0317-00
臺北市	63000	大安區	63000030	民炤里	4	A6303-004-00	A6303-25	A6303-25-007	A6303-0318-00
臺北市	63000	萬華區	63000070	富福里	10	A6307-010-00	A6307-14	A6307-14-009	A6307-0231-00
臺北市	63000	大安區	63000030	德安里	1	A6303-001-00	A6303-23	A6303-23-007	A6303-0320-00
臺北市	63000	中正區	63000050	三愛里	31	A6305-031-00	A6305-12	A6305-12-009	A6305-0254-00
臺北市	63000	信義區	63000020	國業里	20	A6302-020-00	A6302-41	A6302-41-008	A6302-0493-00
臺北市	63000	大安區	63000030	德安里	1	A6303-001-00	A6303-23	A6303-23-007	A6303-0321-00
臺北市	63000	萬華區	63000070	富福里	10	A6307-010-00	A6307-18	A6307-18-006	A6307-0254-00
臺北市	63000	信義區	63000020	松友里	22	A6302-022-00	A6302-46	A6302-46-002	A6302-0487-00
臺北市	63000	大安區	63000030	敦安里	51	A6303-051-00	A6303-31	A6303-31-001	A6303-0329-00
臺北市	63000	南港區	63000090	舊莊里	16	A6309-016-00	A6309-39	A6309-39-008	A6309-0477-00
臺北市	63000	信義區	63000020	松友里	22	A6302-022-00	A6302-46	A6302-46-006	A6302-0525-00
臺北市	63000	大安區	63000030	民炤里	4	A6303-004-00	A6303-35	A6303-35-005	A6303-0393-00
臺北市	63000	中正區	63000050	文祥里	30	A6305-030-00	A6305-15	A6305-15-007	A6305-0291-00
臺北市	63000	萬華區	63000070	富福里	10	A6307-010-00	A6307-18	A6307-18-006	A6307-0283-00
臺北市	63000	萬華區	63000070	華江里	18	A6307-018-00	A6307-19	A6307-19-008	A6307-0273-00
臺北市	63000	中正區	63000050	愛國里	16	A6305-016-00	A6305-19	A6305-19-001	A6305-0293-00
臺北市	63000	大安區	63000030	光明里	19	A6303-019-00	A6303-39	A6303-39-002	A6303-0402-00
臺北市	63000	大安區	63000030	敦安里	51	A6303-051-00	A6303-31	A6303-31-004	A6303-0404-00
臺北市	63000	信義區	63000020	中興里	4	A6302-004-00	A6302-51	A6302-51-001	A6302-0568-00
臺北市	63000	中正區	63000050	愛國里	16	A6305-016-00	A6305-19	A6305-19-005	A6305-0334-00
臺北市	63000	大安區	63000030	光明里	19	A6303-019-00	A6303-45	A6303-45-002	A6303-0524-00
臺北市	63000	信義區	63000020	景聯里	34	A6302-034-00	A6302-51	A6302-51-003	A6302-0569-00
臺北市	63000	信義區	63000020	景新里	28	A6302-028-00	A6302-51	A6302-51-002	A6302-0573-00
臺北市	63000	信義區	63000020	景新里	28	A6302-028-00	A6302-53	A6302-53-002	A6302-0567-00
臺北市	63000	大安區	63000030	福住里	17	A6303-017-00	A6303-41	A6303-41-003	A6303-0506-00
臺北市	63000	信義區	63000020	松友里	22	A6302-022-00	A6302-49	A6302-49-005	A6302-0561-00
臺北市	63000	大安區	63000030	福住里	17	A6303-017-00	A6303-41	A6303-41-004	A6303-0502-00
臺北市	63000	信義區	63000020	松隆里	21	A6302-021-00	A6302-50	A6302-50-008	A6302-0572-00
臺北市	63000	信義區	63000020	松友里	22	A6302-022-00	A6302-49	A6302-49-006	A6302-0562-00
臺北市	63000	大安區	63000030	光明里	19	A6303-019-00	A6303-45	A6303-45-002	A6303-0518-00
臺北市	63000	信義區	63000020	松友里	22	A6302-022-00	A6302-49	A6302-49-006	A6302-0564-00
臺北市	63000	信義區	63000020	松友里	22	A6302-022-00	A6302-49	A6302-49-007	A6302-0565-00
臺北市	63000	中正區	63000050	新營里	21	A6305-021-00	A6305-20	A6305-20-004	A6305-0337-00
