bank_code,bank_name,branch_code,branch_name,addr,tel_no,manager,establish_date,extended_open_time,url
807,永豐商業銀行,8071332,永豐商業銀行蘆洲分行,新北市蘆洲區三民路28號,02-22818966,黃文謙,1983-10-18,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071332"
807,永豐商業銀行,8071343,永豐商業銀行內湖分行,台北市內湖區內湖路1段721、723、725號,02-27971600,劉大維,1983-10-20,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071343"
807,永豐商業銀行,8071354,永豐商業銀行社子分行,台北市士林區延平北路6段111號,02-28129477,胡伯仁,1984-11-21,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071354"
807,永豐商業銀行,8071365,永豐商業銀行信義分行,台北市大安區信義路4段252號,02-27058322,邱德鈞,1984-11-02,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071365"
807,永豐商業銀行,8071376,永豐商業銀行永春分行,台北市信義區永吉路352號,02-27695323,羅詩文,1986-04-22,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071376"
807,永豐商業銀行,8071387,永豐商業銀行南三重分行,新北市三重區中正北路400號,02-29820711,游俊男,1986-02-17,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071387"
807,永豐商業銀行,8071398,永豐商業銀行積穗分行,新北市中和區連城路533號,02-22234077,邱文山,1986-01-10,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071398"
807,永豐商業銀行,8071402,永豐商業銀行鶯歌分行,新北市鶯歌區建國路212、214號,02-26786000,邱郁雯,1992-09-26,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071402"
807,永豐商業銀行,8071413,永豐商業銀行新店分行,新北市新店區中正路290、292號,02-29172202,陳秋華,1992-09-26,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071413"
807,永豐商業銀行,8071435,永豐商業銀行西盛分行,新北市新莊區後港一路61、63號,02-22027700,許宏儒,1987-08-13,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071435"
807,永豐商業銀行,8071446,永豐商業銀行板橋忠孝分行,新北市板橋區重慶路198號,02-29553678,陳聖弘,1987-08-11,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071446"
807,永豐商業銀行,8071457,永豐商業銀行思源分行,新北市新莊區化成路540號,02-29968840,賴俊松,1988-01-28,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071457"
807,永豐商業銀行,8071468,永豐商業銀行土城分行,新北市土城區中央路2段223之5、223之6號,02-22608122,鍾紀程,1992-09-26,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071468"
807,永豐商業銀行,8071479,永豐商業銀行三興分行,台北市信義區莊敬路294、296、298號,02-27232955,劉美娟,1990-06-04,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071479"
807,永豐商業銀行,8071480,永豐商業銀行龍江分行,台北市中山區龍江路407、409、411號,02-25095570,陳慶東,1990-01-10,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071480"
807,永豐商業銀行,8071491,永豐商業銀行樹林分行,新北市樹林區中山路1段288、290號,02-26838668,李壹明,1990-02-22,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071491"
807,永豐商業銀行,8071505,永豐商業銀行五股分行,新北市五股區工商路82號,02-22917333,林雙和,1994-10-03,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071505"
807,永豐商業銀行,8071538,永豐商業銀行松德分行,台北市信義區松德路132號,02-87882688,彭翊鳳,1990-06-01,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071538"
807,永豐商業銀行,8071549,永豐商業銀行東湖分行,台北市內湖區東湖路23號,02-26335555,楊由敏,1991-05-28,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071549"
807,永豐商業銀行,8071550,永豐商業銀行華江分行,新北市板橋區新海路82、84號,02-22572199,張中誠,1991-05-28,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071550"
807,永豐商業銀行,8071561,永豐商業銀行北三重分行,新北市三重區自強路4段83、85號,02-29826239,丁玉惠,1991-05-28,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071561"
807,永豐商業銀行,8071572,永豐商業銀行蘭雅分行,臺北市士林區德行東路183、185號,02-28337222,吳佳恩,1991-05-28,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071572"
807,永豐商業銀行,8071583,永豐商業銀行德惠分行,台北市中山區德惠街16號,02-25854880,邱浩雄,1991-05-28,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071583"
807,永豐商業銀行,8071594,永豐商業銀行迴龍分行,新北市樹林區三俊街59號,02-26889030,林士欽,1997-09-08,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071594"
807,永豐商業銀行,8071608,永豐商業銀行仁愛分行,台北市大安區仁愛路4段316號,02-27045711,李靖川,1992-03-03,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071608"
