addr,lat,lng,addr_norm,bank_code,bank_name,branch_code,branch_name,tel_no,manager,establish_date,extended_open_time,url
台中市西屯區文心路二段91號,24.157928,120.646433,台中市西屯區惠來里文心路二段91號,812,台新國際商業銀行,8121053,台新國際商業銀行市府分行,04-22588757,許明珠,2004-10-18,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8121053"
高雄市楠梓區後昌路750號,22.710356,120.29638,高雄市楠梓區慶昌里後昌路750號,812,台新國際商業銀行,8121064,台新國際商業銀行右昌分行,07-3652200,俞斐雲,2004-10-18,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8121064"
台中縣沙鹿鎮中山路201號,24.237267,120.563009,台中縣沙鹿鎮洛泉里中山路201號,812,台新國際商業銀行,8121075,台新國際商業銀行沙鹿分行,04-2665-6699,張裕昌,2004-10-18,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8121075"
苗栗縣竹南鎮民族街61號,24.684967,120.878269,苗栗縣竹南鎮正南里民族街61號,812,台新國際商業銀行,8121086,台新國際商業銀行竹南分行,037-468777,林怡廷,2004-10-18,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8121086"
宜蘭縣羅東鎮公正路153號,24.678296,121.769916,宜蘭縣羅東鎮集祥里公正路153號,812,台新國際商業銀行,8121097,台新國際商業銀行羅東分行,03-9533366,莊焙然,2004-10-18,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8121097"
台北市內湖區成功路5段452號,25.074465,121.606821,台北市內湖區金湖里成功路五段452號,812,台新國際商業銀行,8121101,台新國際商業銀行東湖分行,02-26305678,洪傑舜,2013-04-18,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8121101"
台北市文山區保儀路9號,24.988717,121.5686,台北市文山區木新里保儀路9號,812,台新國際商業銀行,8121112,台新國際商業銀行文山分行,02-29382323,鄭玉萍,2013-06-24,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8121112"
新北市新莊區中原路150號,25.05455744,121.45511724,新北市新莊區昌平里中原路150號,812,台新國際商業銀行,8121123,台新國際商業銀行副都心分行,(02)8521-1388,邱惠雯,2015-03-02,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8121123"
車前路11號,23.975744,120.979772,,812,台新國際商業銀行,8121134,台新國際商業銀行景美分行,(02)2930-3013,陳美如,2016-10-07,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8121134"
復興四路21號,23.975744,120.979772,,812,台新國際商業銀行,8121145,台新國際商業銀行雄科分行,07-331-6765,黃珊瑜,2017-02-13,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8121145"
香港九龍尖沙咀廣東道15號,23.975744,120.979772,,812,台新國際商業銀行,8129004,台新國際商銀香港分行,852-22349009,郭立程,2003-06-25,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8129004"
"61 ROBINSON ROAD, #15-01,ROBINSON CENTRE,SINGAPORE 068893",,,,812,台新國際商業銀行,8129200,台新國際商業銀行新加坡分行,65-62240888,張俊明,2014-06-24,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8129200"
"8F, Meiji Yasuda Life Insurance Bldg.,2-1-1 Marunouchi, Chiyoda-ku, Tokyo 100-0005",,,,812,台新國際商業銀行,8129233,台新國際商業銀行東京分行,+81-3-3212-6668,小森道雄,2016-10-17,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8129233"
"422, Strand Road (Corner of Botahtaung Pagoda Road), #03-01, Botahtaung Township, Yangon, Myanmar",,,,812,台新國際商業銀行,8129244,緬甸仰光代表人辦事處,(95)-1-203409,許俊萍,2016-01-21,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8129244"
越南胡志明市第一郡阮惠大道8號,23.975744,120.979772,越南胡志明市第一郡阮惠大道8號,812,台新國際商業銀行,8129990,越南胡志明市代表人辦事處,(84)8-8228375,許俊萍,2005-06-23,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8129990"
